abs_error,group
0.16666638888935187,250 Speakers
0.0,250 Speakers
0.3333322222259259,250 Speakers
0.0,250 Speakers
0.14285693877580175,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.11111098765445816,250 Speakers
0.4285708163274053,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.14285693877580175,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.11111098765445816,250 Speakers
0.14285693877580175,250 Speakers
0.0,250 Speakers
0.11111098765445816,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0999999000001,250 Speakers
0.3333322222259259,250 Speakers
0.11111098765445816,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0999999000001,250 Speakers
0.19999960000080003,250 Speakers
0.0,250 Speakers
0.14285693877580175,250 Speakers
0.12499984375019532,250 Speakers
0.0,250 Speakers
0.0999999000001,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0999999000001,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.11111098765445816,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.16666638888935187,250 Speakers
0.14285693877580175,250 Speakers
0.12499984375019532,250 Speakers
0.0,250 Speakers
0.19999960000080003,250 Speakers
0.24999937500156252,250 Speakers
0.14285693877580175,250 Speakers
0.16666638888935187,250 Speakers
0.14285693877580175,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.14285693877580175,250 Speakers
0.24999937500156252,250 Speakers
0.16666638888935187,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.14285693877580175,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.11111098765445816,250 Speakers
0.3333322222259259,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.19999960000080003,250 Speakers
0.0,250 Speakers
0.19999960000080003,250 Speakers
0.0,250 Speakers
0.12499984375019532,250 Speakers
0.16666638888935187,250 Speakers
0.14285693877580175,250 Speakers
0.0,250 Speakers
0.16666638888935187,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.19999960000080003,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.2857138775516035,250 Speakers
0.16666638888935187,250 Speakers
0.0,250 Speakers
0.12499984375019532,250 Speakers
0.0,250 Speakers
0.16666638888935187,250 Speakers
0.19999960000080003,250 Speakers
0.2857138775516035,250 Speakers
0.0,250 Speakers
0.39999920000160005,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.2857138775516035,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.24999937500156252,250 Speakers
0.0,250 Speakers
0.16666638888935187,250 Speakers
0.0,250 Speakers
0.0999999000001,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.11111098765445816,250 Speakers
0.3333322222259259,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.14285693877580175,250 Speakers
0.14285693877580175,250 Speakers
0.16666638888935187,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.24999937500156252,250 Speakers
0.0,250 Speakers
0.49999750001249993,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.19999960000080003,250 Speakers
0.0,250 Speakers
0.19999960000080003,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.1999998000002,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.3333322222259259,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,250 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.19999960000080003,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.14285693877580175,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.11111098765445816,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.22222197530891633,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.22222197530891633,500 Speakers
0.14285693877580175,500 Speakers
0.0,500 Speakers
0.2857138775516035,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.22222197530891633,500 Speakers
0.1999998000002,500 Speakers
0.19999960000080003,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.12499984375019532,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.12499984375019532,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.3333322222259259,500 Speakers
0.24999937500156252,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.0999999000001,500 Speakers
0.12499984375019532,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.24999937500156252,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.24999937500156252,500 Speakers
0.0,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.3333322222259259,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.12499984375019532,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.12499984375019532,500 Speakers
0.14285693877580175,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.2857138775516035,500 Speakers
0.0,500 Speakers
0.24999937500156252,500 Speakers
0.19999960000080003,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.0999999000001,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.12499984375019532,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0999999000001,500 Speakers
0.0,500 Speakers
0.24999968750039064,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.11111098765445816,500 Speakers
0.2857138775516035,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.24999937500156252,500 Speakers
0.0,500 Speakers
0.24999937500156252,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.9999900000999989,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
