abs_error,group
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
2,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
2,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
2,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
3,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
2,750 Speakers
0,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
1,750 Speakers
0,750 Speakers
0,750 Speakers
0,750 Speakers
3,750 Speakers
0,750 Speakers
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
0,baseline
1,baseline
1,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
2,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
2,baseline
1,baseline
0,baseline
0,baseline
0,baseline
2,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
2,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
2,baseline
1,baseline
2,baseline
0,baseline
0,baseline
2,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
2,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
1,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
2,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
0,baseline
1,baseline
1,baseline
1,baseline
0,baseline
0,baseline
1,baseline
0,baseline
1,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
1,baseline
0,baseline
1,baseline
0,baseline
0,baseline
0,baseline
0,baseline
2,baseline
0,baseline
0,baseline
1,baseline
0,baseline
